a1,a2,a3,net,nmi_avg,nmi_max
0.95,0.0,0.05,net_0,0.6333914045819341,0.993028761062812
0.95,0.0,0.05,net_1,0.6262759794905938,0.9963167941253808
0.95,0.0,0.05,net_2,0.6362984940979302,0.9786644839489169
0.95,0.0,0.05,net_3,0.6448787644858051,0.9769630760877936
0.95,0.0,0.05,net_4,0.6455194193770388,0.9765852495185404
0.95,0.0,0.05,net_5,0.6533195989695214,0.9638984670840676
0.95,0.0,0.05,net_6,0.6295360213809557,0.9456631311324636
0.9,0.0,0.1,net_7,0.6204400313056823,0.957481133266736
0.95,0.0,0.05,net_8,0.6352113008280491,0.9411189431106236
0.95,0.0,0.05,net_9,0.6495351317580323,0.9538701666331176
0.95,0.0,0.05,net_10,0.6369552424561359,0.9438786883675124
0.85,0.0,0.15,net_11,0.6299480689528116,0.93141353812393
0.95,0.0,0.05,net_12,0.6106754192616894,0.9215372156737736
0.95,0.0,0.05,net_13,0.6161655781498412,0.9295536239733284
0.95,0.0,0.05,net_14,0.5984990124549983,0.8952108645146832
0.95,0.0,0.05,net_15,0.5992148698778369,0.9114483711282036
0.95,0.0,0.05,net_16,0.6022510313949119,0.8801025544007035
0.85,0.0,0.15,net_17,0.6012463974728658,0.9116661770492088
0.9,0.0,0.1,net_18,0.5711874775287251,0.9021409446038277
0.95,0.0,0.05,net_19,0.5880941095320934,0.8968248298720894
0.9,0.0,0.1,net_20,0.6091378472748725,0.8805410592474705
0.95,0.0,0.05,net_21,0.5876464721730318,0.8645668083534568
0.95,0.0,0.05,net_22,0.5823160741262252,0.8562168356562946
0.9,0.0,0.1,net_23,0.5233012694738342,0.8505806896041317
0.9,0.0,0.1,net_24,0.4956265907548761,0.8471028089048537
0.8,0.0,0.2,net_25,0.4219660129659207,0.8210160067956942
0.75,0.0,0.25,net_26,0.4366804476321306,0.8150319369667565
0.9,0.0,0.1,net_27,0.3383976547776247,0.7561666030244563
0.75,0.0,0.25,net_28,0.3129816265063484,0.7318645649357142
0.95,0.0,0.05,net_29,0.27977294643997513,0.6476340039790146
0.9,0.0,0.1,net_30,0.3000637951932376,0.6538188827249481
0.85,0.0,0.15,net_31,0.24573770608137496,0.5311596386982307
0.7,0.0,0.3,net_32,0.2541181714020302,0.4941367171021232
0.7,0.0,0.3,net_33,0.249925674209432,0.4416488846421525
0.75,0.0,0.25,net_34,0.2510003655238209,0.4509320436289509
0.8,0.0,0.2,net_35,0.2441391389535509,0.3734930477709095
0.95,0.0,0.05,net_36,0.241252463782606,0.3541692557993483
0.9,0.0,0.1,net_37,0.24671148685733174,0.3520241817949457
0.85,0.0,0.15,net_38,0.2567119958461851,0.3379693475411541
0.9,0.0,0.1,net_39,0.2277836119510517,0.2697246366841293
0.95,0.0,0.05,net_40,0.24541858818294685,0.2926600516683361
0.65,0.0,0.35,net_41,0.2326427722278512,0.2740120068786304
0.0,0.0,1.0,net_42,0.2214700211143797,0.26154910290342004
0.0375,0.05,0.9125,net_43,0.2271108540801819,0.2648836047508269
1.5258789062500002e-21,0.75,0.25,net_44,0.2282690369345776,0.2782520715170676
3.0517578125000003e-21,0.75,0.25,net_45,0.22494825999617107,0.2649843309368056
4.375e-06,0.2,0.799995625,net_46,0.21721688027020644,0.2523677706989068
0.035,0.05,0.915,net_47,0.2221932855599672,0.255761621366729
0.0075,0.05,0.9425,net_48,0.2193883148419477,0.2596591177270444
1.5258789062499999e-22,0.8,0.2,net_49,0.2356841891088069,0.2739991967855345
